          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.000     0     0     0.0      0      0 |    1     1    0.0000    0.0000    0.0000 |
    1.000     1     1     1.0      1      1 |    1     2    0.1507    0.1507    0.1507 |
    2.000     1     1     1.0      1      2 |    1     3    0.1729    0.1729    0.1729 |
    3.000     1     1     1.0      1      3 |    1     4    0.1714    0.1714    0.1714 |
    4.000     1     1     1.0      1      4 |    1     5    0.1633    0.1633    0.1633 |
    5.000     1     1     1.0      1      5 |    1     6    0.1633    0.1633    0.1633 |
    6.000     1     1     1.0      1      6 |    1     7    0.1678    0.1678    0.1678 |
    7.000     1     1     1.0      1      7 |    1     8    0.1658    0.1658    0.1658 |
