          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.000     0     0     0.0      0      0 |    1     1    0.0000    0.0000    0.0000 |
    1.000     0     0     0.0      0      0 | 1000  1001    0.1307    0.0001    0.0000 |
    2.000     0     0     0.0      0      0 | 1000  2001    0.1298    0.0001    0.0000 |
    3.000     0     0     0.0      0      0 | 1000  3001    0.1266    0.0001    0.0000 |
    4.000     0     0     0.0      0      0 | 1000  4001    0.1250    0.0001    0.0000 |
    5.000     0     0     0.0      0      0 | 1000  5001    0.1249    0.0001    0.0000 |
    6.000     1     1     1.0   1000   1000 | 1000  6001    0.1878    0.0002    0.0002 |
    7.000     1     1     1.0   1000   2000 | 1000  7001    0.1939    0.0002    0.0002 |
